fishing_entity_id,sum,lon,lat
1,82.99295665,18.75,41.75
1,4221.194037,19.25,41.75
1,185.5690964,19.75,41.75
1,38.12473512,18.25,41.25
1,8568.909467,18.75,41.25
1,13801.21146,19.25,41.25
1,2.051810824,19.75,41.25
1,6372.959024,18.75,40.75
1,11009.64781,19.25,40.75
1,1959.892439,18.75,40.25
1,9057.729933,19.25,40.25
1,546.7475274,19.75,40.25
1,1334.449012,19.75,39.75
1,46.70872833,20.25,39.75
1,0.013780531,33.75,33.75
